location,Oil,NaturalGas,Coal,NuclearEnergy,Hydroelectric,Renewables,2015 Total,Oil,NaturalGas,Coal,NuclearEnergy,Hydroelectric,Renewables,2016 Total
Indonesia,71.78927124,36.3955321,51.156076,0,3.109245599,2.381189754,164.8313293,72.58756667,33.93117049,62.69853315,0,3.268430104,2.557608134,175.0433044
Japan,189.0136017,102.0799106,119.887698,1.023760239,18.97092723,14.82027544,445.7961731,184.3013998,100.1009849,119.9389359,4.000253428,18.09891438,18.82417116,445.2646484
Malaysia,35.54324562,37.604733,16.879,0,3.49796805,0.275973485,93.80091858,36.28974346,38.74413348,19.89874424,0,4.190560279,0.336370164,99.45955658
New Zealand,7.493356733,4.043579575,1.437320599,0,5.56651737,2.448457879,20.98923111,7.652117537,4.230222062,1.219203101,0,5.880409601,2.449264734,21.43121719
Pakistan,24.58451687,39.17623262,4.665949927,1.087704213,7.303593248,0.300055522,77.11805725,27.47153421,40.934778,5.387251066,1.255826583,7.704326379,0.442311503,83.19602966
Philippines,18.31244561,3.005363568,11.61,0,1.960691044,2.782752862,37.67124939,19.91590452,3.443861317,13.50158646,0,2.098451442,3.090425638,42.05022812
Singapore,69.40668944,10.96924826,0.4064,0,0,0.197666749,80.98001099,72.18176957,11.27568189,0.380867014,0,0,0.227524595,84.06584167
South Korea,113.7782625,39.25266361,85.473,37.28162554,0.485522765,3.918619859,280.1896973,122.1499601,40.91919421,81.584,36.69615785,0.555717044,4.307145766,286.2121887
Taiwan,46.47799839,16.54415684,37.833401,8.252504639,1.01148278,1.025657479,111.145195,46.67003787,17.18774986,38.567451,7.164176811,1.48334344,1.046660293,112.1194229
Thailand,57.292302,43.81853492,17.5726054,0,0.850960085,2.259254715,121.793663,58.95761892,43.47743346,17.73963317,0,0.801710187,2.817160313,123.7935562
Vietnam,18.84699677,9.594,22.252328,0,12.91856146,0.049441528,63.66132736,20.06730387,9.63882,21.327824,0,13.69534867,0.069663637,64.79896545
Other Asia Pacific,23.23716308,6.994118709,16.91520444,0,13.27989096,0.307933611,60.73431113,24.36375725,7.203421672,20.57140181,0,13.84199451,0.312812808,66.29338889
Total Asia Pacific,1505.771226,631.6174402,2747.734456,94.95914851,354.6501826,112.7061125,5447.438537,1557.256472,650.2508477,2753.633055,105.9335301,368.1085797,144.5028318,5579.685574
Total World,4340.956744,3146.746244,3784.654371,582.7164481,883.2153605,366.7097458,13104.99905,4418.247654,3204.141977,3731.998524,592.0578601,910.2904849,419.5700916,13276.30683
