location,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
Poland,0.473208648,0.487970637,0.514757867,0.523627728,0.506873748,0.521686577,0.566304405,0.597698806,0.640905586,0.575024316,0.487052208,0.43406904,0.40004344,0.391107214,0.428416783,0.444264703,0.403336464,0.405210599,0.401042984,0.372365866,0.255633379,0.285765122,0.274433977,0.351634838,0.333186973,0.340699689,0.336655328,0.34445258,0.349233819,0.333494322,0.355223328,0.37540238,0.383693867,0.388223219,0.420857762,0.417578502,0.417148676,0.418905982,0.395586251,0.395599335,0.397003845,0.413868234,0.418842022,0.41099759,0.400590866,0.395925428,0.380884743,-0.037988682,-0.005310517,0.001111469
Romania,2.257558331,2.412577337,2.461091049,2.612747509,2.696599675,2.929235686,3.18646751,3.38375743,3.406870528,3.255291611,3.352105499,3.537916414,3.577154928,3.549741719,3.514741635,3.368707042,3.409128086,3.240026217,3.164275236,2.844308492,2.462976245,2.156235911,1.888126901,1.801760214,1.593579498,1.552948851,1.475627594,1.280137572,1.198604104,1.203207918,1.175881137,1.15890295,1.139419548,1.121096728,1.112556404,1.042916624,1.028639145,0.992548055,0.968586311,0.960910436,0.927207679,0.931716281,0.966971477,0.925090584,0.94231777,0.94443686,0.882939847,-0.065115006,-0.009869739,0.002576528
Russian Federation,,,,,,,,,,,,,,,,40.45392771,44.04208831,47.65826772,51.50109531,53.91872362,57.08835303,56.30032362,56.23381719,54.13762067,53.17447361,51.52836773,52.4441469,49.84723831,51.53712361,51.83482361,50.99464168,50.91545596,52.13252361,54.33025009,55.31696148,56.12520597,57.58262259,57.28098244,58.05879666,51.05187261,56.97379107,58.7295994,57.14744208,58.50761152,56.28525475,55.64584768,55.90442149,0.004646776,-0.000857388,0.163136027
Turkmenistan,,,,,,,,,,,,,,,,7.284018541,7.416232365,7.713932365,7.710319966,7.871538248,7.687664718,7.381208835,5.247907474,5.717591186,3.125849338,2.828150005,3.073625672,1.514741618,1.164528016,1.99636354,4.104026644,4.491765819,4.684393729,5.173500655,5.090732208,5.516205891,5.840173539,6.330502951,6.374330209,3.519864711,4.097752948,5.761458156,6.010019425,6.032511717,6.492960613,6.731586627,6.444596064,-0.04263342,0.020111626,0.01880613
Ukraine,,,,,,,,,,,,,,,,3.754522359,3.4760853,3.117094123,2.829154778,2.696811769,2.460402945,2.136435298,1.83371143,1.681129414,1.593570591,1.59358661,1.606705786,1.63499066,1.5733539,1.585868979,1.561566589,1.602347165,1.646105885,1.698641179,1.772587716,1.794955885,1.81246765,1.81246765,1.83371143,1.865002944,1.791453532,1.81246765,1.790051634,1.865002944,1.759932356,1.733664709,1.715393383,-0.010539135,-0.003468266,0.00500573
United Kingdom,1.012138652,1.68198846,2.420351609,2.635108087,3.177997114,3.309258006,3.49490796,3.661652111,3.5064181,3.540711486,3.356822698,3.358494278,3.4135357,3.519748444,3.431440199,3.839031694,4.036191788,4.225611683,4.058184331,3.985020466,4.400303696,4.89933159,4.968603619,5.857611351,6.253651584,6.845668563,8.119184207,8.306927568,8.723312788,9.586745062,10.45684987,10.23891438,10.02407352,9.959318634,9.297448713,8.530664566,7.736467669,6.97352711,6.718455626,5.774288975,5.527893876,4.376949738,3.751467583,3.529259068,3.559469544,3.829754741,3.956009182,0.032966717,-0.076963638,0.011544125
USSR,17.33183135,18.59749415,19.33255765,20.69015003,22.81782945,25.32796581,28.02548499,30.29561567,32.58886882,35.60115502,38.0014864,40.74112065,43.84070301,46.90526184,51.29152829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,3.028659711,3.379770594,3.484841182,3.484051717,3.598667653,3.572400006,3.667129897,3.737540493,3.9431766,4.13111286,4.25168136,4.276651653,4.48686436,4.797347949,4.866606978,4.926134778,5.027102302,5.02351239,5.033494096,5.22738737,5.22603595,5.480306773,5.630032362,5.57395883,5.376812244,5.263336008,5.516205891,5.492402331,5.503697488,5.543009613,5.587353703,6.05611571,0.083896963,0.006707669,0.017672496
Other Europe & Eurasia,1.362822267,1.420735388,1.488661681,1.61028833,1.646702312,1.636824034,1.68196058,1.820070442,1.929008228,1.871167383,1.798064636,1.728313184,1.784740362,1.764068435,1.773299922,1.848524119,1.696803487,1.6940088,1.649880174,1.706164924,1.55333378,1.59189087,1.545591304,1.590633543,1.533991899,1.545534293,1.414021858,1.291724018,1.186212057,1.122386064,1.091777981,1.068216431,1.063338179,1.023367846,1.045283282,0.982712449,1.037745556,0.965960562,0.91095198,0.886111524,0.900181197,0.893751362,0.804269098,0.694164131,0.617460327,0.601619437,0.8439794,0.402845965,-0.047884709,0.002462836
Total Europe & Eurasia,27.25004992,30.68725964,33.80227354,37.00255795,40.93634784,44.15265805,48.04799617,51.02016548,53.90320683,57.63129299,59.67322988,62.1633582,63.78531806,67.19817382,71.93332042,77.50447436,80.79261853,84.93186105,87.39885605,90.11744951,92.31802241,92.14584888,89.55074772,88.95943361,85.41761239,84.48990291,88.66085097,84.58817304,86.04130982,88.19632469,90.20495791,91.20325898,93.30273233,96.56076371,98.77023646,99.34009393,100.8400069,100.4068889,102.9253038,91.71572177,98.79581212,99.89352514,98.9487475,99.91767288,97.06523509,96.3087077,96.50106341,0.001997283,-0.003094255,0.281602057
Bahrain,0.060094053,0.087614764,0.109031608,0.155019005,0.191139939,0.201137697,0.210236955,0.228658408,0.251233991,0.278539697,0.225460641,0.209630416,0.331001052,0.346911464,0.356470105,0.436353775,0.499565408,0.485375041,0.514174624,0.536331358,0.561702013,0.535471336,0.623956696,0.670172316,0.686082727,0.697478022,0.716263691,0.771117424,0.810785949,0.838951677,0.845772229,0.883135319,0.915063644,0.931511569,0.941509914,1.036197397,1.096176,1.140521151,1.220583033,1.235733562,1.265793205,1.285696027,1.32563082,1.421531507,1.496763699,1.502933904,1.491171879,-0.007826043,0.037886202,0.004351424
Iran,0.358066593,0.866050088,1.164644588,1.290524365,1.339067838,1.394982835,1.417314751,1.443184789,0.904056176,0.870779148,0.463327415,0.504817622,0.691363195,0.790134591,0.917262779,0.992257384,0.953232336,1.166947518,1.263434685,1.59975421,2.532061299,2.991151911,3.157130825,1.691572332,2.687092667,3.264487399,3.828815705,4.033993894,4.555591459,5.427157328,5.755230543,6.413142705,7.62620136,7.999124196,9.300469508,9.896774516,10.78437227,12.08913779,12.62339013,13.90445657,14.74183978,15.46669983,16.03222959,16.136827,17.98069744,18.32231425,19.53308093,0.066081536,0.063527356,0.05699995
Iraq,0.075896961,0.089549814,0.090270024,0.088044775,0.080842089,0.125670747,0.173893086,0.113952944,0.118145553,0.169424378,0.12361204,0.05998655,0.0657917,0.045473675,0.056928008,0.082239625,0.149966375,0.362821875,0.540333633,0.624053624,0.38507495,0.16834935,0.219028098,0.246718875,0.306705425,0.306705425,0.312621602,0.295095125,0.285419875,0.30767295,0.303937669,0.2670369,0.2283359,0.1509339,0.096488149,0.140291125,0.140291125,0.14125865,0.18139772,0.111168622,0.126068507,0.08475519,0.062331344,0.114066812,0.08750418,0.096932073,0.109136418,0.125906162,-0.036295848,0.000318474
Kuwait,0.197052591,0.203610261,0.239933863,0.269509464,0.283592328,0.31079053,0.372873091,0.407650533,0.456779302,0.604810627,0.392813975,0.453231711,0.355619189,0.390450089,0.422189256,0.4063605,0.554391825,0.46247695,0.659978938,0.789500399,0.405392975,0.04837625,0.25279895,0.52439855,0.577612425,0.897648194,0.897554202,0.896895674,0.918288727,0.835941599,0.926286229,0.919148749,0.842714274,0.967524999,1.051720822,1.190055749,1.200698524,1.089433149,1.22539949,1.111589472,1.135197082,1.309351581,1.497013629,1.578149234,1.454071655,1.635988021,1.652174816,0.009894201,0.032336496,0.004821251
Oman,0,0,0,0,0,0,0,0,0.039234197,0.065978615,0.083534114,0.098696406,0.10806374,0.134129366,0.168151329,0.214634138,0.251017407,0.281155787,0.28214764,0.293645566,0.31726754,0.321747569,0.350653737,0.337495551,0.353379292,0.494975374,0.533697695,0.60874097,0.632091427,0.666166802,1.056620256,1.583419178,1.70860274,1.882232877,1.91005963,2.14029863,2.493643836,2.525986301,2.50784153,2.613008219,2.838287671,2.990367123,3.105005464,3.365882192,3.220493151,3.361350685,3.417723409,0.016770855,0.046174054,0.00997334
Qatar,0.097236262,0.097236262,0.106426428,0.15286895,0.125584745,0.193795257,0.105558035,0.150063127,0.143096947,0.422034405,0.457450314,0.418261057,0.489083887,0.506499337,0.572174723,0.52826865,0.5611645,0.542781525,0.565420552,0.599865499,0.609540749,0.738221574,1.217680438,1.306158749,1.306158749,1.306158749,1.321887639,1.683493499,1.894413948,2.133392623,2.402554906,2.612317498,2.854198748,3.038028497,3.779440789,4.431264496,4.905351746,6.114757995,7.427754185,8.639998243,12.69054165,14.05537112,15.1534246,17.18343903,16.84042181,17.26760885,17.48830524,0.012780946,0.145698786,0.051033041
Saudi Arabia,0.156416542,0.130508372,0.147519659,0.1741545,0.220380694,0.262199275,0.28228144,0.398297791,0.549231691,0.674364924,0.938293643,1.096958344,1.162642541,1.135336835,1.756084309,1.818946998,2.438162998,2.592966998,2.807805131,2.883224498,3.243143797,3.402785422,3.690671693,3.873970097,4.138104421,4.153584821,4.285038689,4.386758346,4.529952046,4.469965496,4.806074693,5.194641721,5.485866745,5.810955145,6.337341615,6.892648094,7.107535396,7.200321044,7.761506691,7.590233619,8.481324143,8.926385642,9.584167823,9.678152567,9.905520942,10.10579862,10.55360476,0.044311802,0.039006952,0.030796726
Syria,0,0,0,0,0,0,0.002894552,0.003230629,0.003115085,0.003212142,0.004311869,0.004362967,0.004552461,0.006909572,0.011638128,0.013865363,0.035058569,0.03451782,0.081430024,0.133655162,0.147173891,0.171777977,0.177194535,0.175859015,0.190630248,0.240383791,0.255435021,0.397270368,0.500943995,0.49658796,0.495231162,0.508784857,0.562799688,0.596776759,0.547360758,0.531436238,0.544504342,0.522724168,0.512607694,0.567155723,0.778859011,0.685639868,0.560393157,0.461739682,0.426891404,0.393351092,0.347585474,-0.116348013,-0.029639925,0.001014297
United Arab Emirates,0.080627083,0.142333678,0.144088969,0.167919339,0.168134344,0.16060915,0.187187009,0.37733475,0.552456775,0.591157774,0.725590879,0.857227149,0.919148749,0.808850899,1.061369637,1.280035574,1.472573049,1.634149724,1.675034264,1.971815948,1.945692773,2.303677023,2.139142259,2.224339973,2.598772148,3.030288297,3.26129943,3.513083272,3.586615172,3.724003722,3.703215152,4.348057346,4.198090971,4.333544471,4.466436409,4.623801971,4.720554471,4.865683221,4.847564597,4.725392096,4.961661701,5.060929766,5.239306481,5.282686496,5.248300042,5.822657588,5.968933594,0.025121863,0.023321745,0.017418088
