location,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
Denmark,14.1081,16.0593,16.1464,16.8572,19.3628,20.631,19.4715,20.5616,19.8569,18.0863,17.80115178,19.59539923,20.01348315,20.27588825,20.22451963,19.74679187,17.74890865,16.97814222,16.13657935,16.41091292,18.51819681,18.94103164,18.23598187,18.02912826,16.61762859,17.12954913,19.7689216,18.48861762,19.62219419,21.07262487,20.6957075,24.69132798,22.34890348,21.4929418,20.83338742,19.97939942,20.04701227,19.9133032,21.44537027,20.2613711,19.56320315,21.62221367,20.48405661,19.76309399,18.50883238,19.4576988,18.44213448,17.07370602,17.86786193,17.35450123,16.85321848,17.08522491,0.010996445,-0.01480026,0.001286896
Finland,9.579502773,10.88881697,11.43604195,12.47085796,13.78934625,15.19181592,15.57063597,16.45217704,18.15254517,17.35173511,17.6341262,18.80958534,19.73880399,20.52979137,22.15471493,22.06259989,22.07820958,21.76419124,21.5324755,22.45891395,23.62768906,23.88486268,25.13164874,24.96589157,25.09015554,26.57278577,27.20652629,27.02675908,27.37992659,28.89102559,27.59978723,29.0151987,29.06791379,29.85558997,29.63481621,29.70956083,30.46196293,30.91642121,33.21531249,32.9382092,29.9740352,32.18420855,32.17454852,31.11221747,28.93876261,31.55894345,29.07124109,28.09221612,27.73620822,26.70432732,26.69338547,27.13024102,0.01358873,-0.011524648,0.002043508
France,110.4069428,112.7999373,120.3091615,126.7907465,139.9281444,151.5793821,157.7490618,168.5831431,183.1995254,179.8015091,168.9519591,180.3625067,181.9394438,189.7711133,195.7835687,192.5479843,189.8004399,182.61342,186.8041655,192.9591045,198.1796813,202.6776856,206.6282347,207.9539248,212.1569415,217.3818863,231.7119755,233.1411849,233.1901458,230.2878554,235.9412023,244.6247729,241.3458219,247.1560526,251.9398708,254.8631664,258.6583,256.67724,259.5002581,262.9845928,262.46687,261.1998762,257.4518867,259.1400767,245.3502116,253.3531162,244.6692753,244.8453254,247.2289879,237.5608235,239.4101579,235.8660001,-0.0174955,-0.009152522,0.017765936
Germany,253.382895,253.7898812,252.8754432,270.0667581,291.2769115,307.2255669,309.5429421,320.385748,338.6843132,332.7215591,319.3236885,340.7004997,339.9114392,351.25375,370.8538772,358.5090401,347.1101417,334.5299427,339.1803991,351.281944,361.2915986,358.2585324,361.0090526,361.8015294,358.2107799,352.4010888,343.5057284,336.2204891,334.5645602,331.4182894,333.1519542,344.151382,339.3575327,336.6687907,331.6779271,333.6281654,339.9258406,335.8766839,335.9344594,335.9348523,332.3492013,341.2918263,327.1855059,330.7256805,310.2169938,323.6037388,312.096982,316.394151,325.5440079,312.0913665,317.8091081,322.4614015,0.011866404,-0.00446354,0.024288487
Greece,6.73,7.37,8.11,8.425,8.898,9.896,11.797,13.237,15.238,14.825,16.903,18.673,19.36,19.666,17.238,17.215,16.598,16.74752794,16.89413156,17.62505331,18.72847463,18.75834579,20.53237154,21.7229332,23.474547,23.28336727,23.4712364,23.98941674,24.26311315,25.10735827,25.80821792,26.35368049,27.25327368,29.17344392,28.99847231,30.66788777,31.0590094,31.08276025,32.69280749,32.93256001,32.93481803,34.25036619,34.59963788,33.46425937,32.67473874,31.53571135,30.68507581,29.33402725,27.93333906,26.27008257,26.4227879,25.91055854,-0.022065166,-0.021789461,0.001951639
Hungary,15.87115305,16.08037661,15.33425365,15.90027257,17.01627429,18.31979536,18.8999871,19.4893061,21.08599054,21.72729321,22.96179106,24.5146767,25.78190886,27.56708856,27.28698366,27.35546346,27.08385813,27.2146595,26.70960619,27.42107653,28.25781599,28.122908,29.33332416,28.60503439,27.82684179,27.56736009,26.05050133,24.29126148,24.07324392,24.51854575,24.66239317,25.31107079,24.6279096,24.67978086,24.43999523,23.60721731,24.26523232,24.03448901,24.33308866,24.33448866,26.0232114,25.65144256,25.29051818,24.96794422,22.90102467,23.48997952,22.62551013,21.09320716,20.08138782,20.04818828,21.155678,21.89197806,0.031976566,-0.020495117,0.001648951
Ireland,5.763157895,6.457105263,6.996578947,8.168684211,8.191578947,6.432578947,6.682263158,7.049263158,7.408736842,7.539947368,7.051421053,7.188210526,7.658421053,7.931894737,8.782842105,8.543473684,8.363736842,8.345578947,8.247315789,8.173263158,8.575473684,9.200894737,9.314263158,9.280368421,9.580894737,9.905610419,10.26272512,10.32512817,10.5501493,10.96349177,11.17810318,11.81566014,12.37815958,13.29282896,14.05987752,14.54471824,15.53234489,15.42081791,15.0013419,15.20751323,15.88295139,16.16639161,16.68142376,16.60562365,15.20161036,15.17355966,14.13573954,13.98064198,13.70734065,13.66851452,14.53824872,15.17733178,0.041106392,-0.008807314,0.001143189
Italy,78.31862357,85.0865746,92.2034101,99.73081993,107.4240548,118.5474723,124.7942235,130.6105845,136.610686,136.5554006,133.4444259,141.122942,141.2654484,143.7888964,148.9215982,145.233663,142.0816273,139.1302807,137.068593,138.4084378,137.9025274,141.7390459,146.1651687,149.7087621,153.558758,154.6918205,158.0855166,158.2458535,155.5802253,155.3809122,161.957651,162.0753354,164.2307656,168.5847893,173.9020659,176.0711279,177.1436084,175.8415399,181.880435,185.2559955,185.5994773,184.9143499,181.0121778,179.2147366,167.0686742,172.2165339,168.4529563,162.174539,155.7013441,146.8724828,149.8777988,151.3221461,0.006878262,-0.021150202,0.01139791
Kazakhstan,,,,,,,,,,,,,,,,,,,,,67.54666223,69.13958849,70.70620062,73.27849858,72.10073123,72.87769045,72.78004032,71.87411417,63.45512041,57.26654436,50.64209282,44.16042089,38.89905091,36.89152263,34.4200903,30.97487881,35.63561042,36.93934865,40.55214399,42.77753036,44.28369542,47.39311446,52.71811644,54.96380915,49.24528517,53.06457809,58.62989455,59.43830133,60.16149279,66.41062189,62.68332118,63.02954728,0.002776085,0.035358645,0.004747521
Lithuania,,,,,,,,,,,,,,,,,,,,,15.23140007,14.04464743,14.73004038,15.41349659,16.65396409,16.93711041,17.92022664,10.91040054,8.520848863,7.40302565,8.206410624,8.918850764,8.235451143,8.8312567,7.359277875,6.510375128,7.615605082,8.117325451,8.527945947,8.627593289,7.88191445,7.56796147,8.286437964,8.243015147,7.590144857,5.60043658,5.817417867,5.841015513,5.388727859,5.187897968,5.424212118,5.489862048,0.009337818,-0.036680181,0.000413508
