location,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
Trinidad & Tobago,35.17133007,35.41800794,36.95416606,37.56023018,39.48698997,40.50624879,41.85863014,67.28718579,68.26616438,67.35405479,52.18731507,58.26147541,57.16720548,52.17389041,40.48364384,32.44806011,32.34646575,35.62556164,31.4540274,27.54060109,28.97986301,30.97756164,21.4570137,19.83972678,17.69350685,25.36180822,24.08010959,33.1834153,29.05887671,22.63,25.68063014,29.29448087,18.48978082,20.99479452,35.23547945,35.08211475,32.87833151,36.58677534,35.09401918,38.20635519,34.51429863,37.70318082,42.51507945,45.14050546,43.52318082,45.03434247,42.24456438,40.4294235,45.45235342,41.79618082,45.41743565,43.62694992,-0.039422872,0.027832523,0.000451822
Venezuela,183.8799534,181.4693945,185.7288712,201.4255902,200.3706164,209.8743644,212.3417534,230.8216011,257.2587397,259.4246027,275.9217178,280.3021503,314.7885589,330.8723699,354.4296493,423.4013497,448.3381671,444.5390575,435.2406521,408.3846475,418.0943479,435.202389,418.9150438,433.3915,422.6495507,427.9250795,412.7294932,488.3427732,450.2392767,498.6406849,484.0328767,403.3307104,432.1088493,474.1964384,506.7783014,510.463224,572.1699178,602.701863,506.3956164,544.6854645,605.7641096,667.5145205,640.0058904,715.9465847,726.2323288,725.0914521,737.0999178,791.642623,781.7195213,719.467377,648.2766833,611.1958775,-0.057199043,0.006805748,0.00632984
Other S. & Cent. America,418.6267326,438.4872509,461.5031174,472.2818049,506.3527024,539.6784462,696.1468036,728.9748071,784.7600766,770.6874527,765.3837899,790.7634599,818.0144192,855.9461907,895.263488,1005.042205,1012.108374,909.9304934,864.0090058,873.6874532,821.8773584,819.7945367,855.5700592,843.238218,902.6997964,895.9995871,893.8422706,883.3178943,903.8936407,963.6289379,1005.043585,1030.680318,1108.949304,1168.132703,1206.18087,1208.665905,1254.65041,1260.907326,1304.815013,1327.693145,1334.235576,1363.107854,1360.779122,1312.562406,1306.288455,1330.039659,1357.013751,1338.865592,1318.543798,1323.775425,1381.300179,1402.170582,0.015109245,0.003472685,0.014521557
Total S. & Cent. America,1613.194564,1713.360134,1771.652144,1893.424552,1997.44648,2084.518135,2345.929983,2516.791138,2759.318909,2836.55124,2827.67461,2965.421793,3095.448499,3259.963752,3424.9588,3537.6608,3514.78745,3437.462618,3342.115144,3337.945663,3322.568121,3573.778613,3683.512333,3725.292052,3768.245419,3735.10902,3775.63827,3989.116482,4074.526958,4312.075624,4462.361176,4556.471185,4817.393611,5005.561477,5078.265916,4996.762482,5099.047958,5103.331054,4999.756584,5194.887095,5373.016502,5553.570009,5831.395381,6099.620512,6093.814956,6424.393747,6665.69585,6825.702291,7073.337397,7170.843531,7139.352596,6976.066624,-0.022871258,0.028831057,0.072247522
Austria,106.6528493,118.2057808,125.6485753,144.3210383,158.6869315,175.7078082,196.2132329,211.8594536,230.3962466,207.1307123,209.7801918,225.9257377,218.2335616,236.5224384,246.077726,240.0575137,219.2166575,208.701726,204.0280548,198.3083607,200.0578904,210.2211233,216.6853699,215.3169945,213.5788493,222.8650685,241.0211781,234.3623224,236.8806575,234.2927945,232.5910137,240.0043989,245.0432329,253.8036986,249.9836712,243.0248361,263.6584384,270.1230411,291.7307671,283.3913388,286.6141644,290.5073699,275.6613973,273.6980874,263.8199452,276.0885532,261.8071781,258.9358873,263.8768493,259.2468767,259.4234382,263.2740032,0.01484278,-0.00991802,0.002726593
Azerbaijan,,,,,,,,,,,,,,,,,,,,,160.3666575,168.1409863,158.3636712,161.8584153,158.3636712,166.2286575,160.3666575,155.9084699,150.8807671,139.5543562,125.5183836,111.664235,106.8659178,112.2191507,107.4260274,119.6759563,78.74734247,72.63512329,83.94479452,88.4684153,106.2394795,96.1006137,91.07149041,74.32696448,72.56410685,71.36567032,88.59913699,92.05448907,100.7533644,99.3023773,99.46913072,99.23216649,-0.002382289,-0.006563211,0.001027696
Belarus,,,,,,,,,,,,,,,,,,,,,491.0399452,580.654274,574.810274,555.7471585,522.2218356,483.2699452,467.6652877,397.5111475,281.493726,228.1651781,205.4868767,203.309153,178.9599178,169.1457808,155.7380274,155.186776,151.4642466,158.4435342,162.5869041,161.3201366,150.8475342,175.9078356,161.9747945,158.8421585,182.1326301,150.3727945,174.6127397,210.8004098,144.9729863,164.528411,155.7553185,152.2650731,-0.022408515,0.003206799,0.001576931
Belgium,312.1127123,318.6681096,350.3951233,405.103388,468.287863,511.7093699,525.207863,566.8854098,597.8955068,529.3600548,503.7659452,523.6178962,516.7769589,551.439726,550.6590959,505.6165847,465.8093151,441.1832329,403.8560822,392.4544262,400.1878356,449.9683562,454.6130959,466.3313388,459.992274,486.887726,521.6289863,532.7323224,525.0512603,579.7486301,575.3433425,621.6867486,638.5818356,645.3497534,622.1667123,638.7730055,641.3822466,652.7006027,687.1257808,686.6075956,687.2664384,684.8739178,699.9305479,730.5113934,653.7394795,678.1656164,637.2189041,621.9145902,636.3630137,634.7532055,665.9190137,675.198364,0.013934653,-0.003150425,0.006992681
Bulgaria,71.2209589,81.12865753,101.8273699,120.4571585,148.4716986,172.5528767,189.4688219,196.5106557,207.9781644,216.2417534,229.2824658,238.0320219,248.3377534,255.4341918,262.8343014,271.3356557,242.990137,236.080274,229.248,220.3445082,201.8531233,212.8269315,204.8835068,216.9563934,212.9130685,140.9556712,88.79909589,81.93620219,95.07865753,92.19863014,100.4408493,90.24013661,87.28909589,92.14767123,85.15731507,86.78519126,90.16334247,88.41994521,94.78923288,91.88994536,102.3849041,105.1813425,102.8059726,102.2764208,91.41747945,81.34893151,79.49131507,81.56737705,75.89424658,81.60389041,91.9269863,95.59416761,0.039892326,-0.010716628,0.000990019
Czech Republic,78.08336986,85.892,95.4989863,105.5605738,113.4582466,136.7287123,151.1802192,164.6743443,184.8970137,188.9551233,208.0715342,218.724071,229.6887397,237.8504658,241.8909863,224.6487705,222.3785479,206.0547123,201.9241918,215.6229781,211.7439726,205.1037808,205.3934795,197.9945082,189.6198904,173.5770685,142.9519726,137.9947541,140.256411,146.8912603,167.3898356,175.0401639,168.5455616,173.3845753,172.8555068,167.3030601,177.2509863,172.4580548,184.2869589,201.8189071,210.1666575,206.8310411,205.0851507,208.7203552,204.3618082,194.6500548,193.1969589,191.6099727,183.5961096,194.9250137,189.2358904,177.9363182,-0.05971157,-0.010435814,0.001842795
