location,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
Denmark,3.6981,4.1913,3.5884,3.2152,2.9368,2.349,1.4375,1.4686,2.2509,2.1263,2.0514,2.8501,3.2786,3.6121,4.3076,6.1477,4.9135,5.9271,5.6604,5.9661,7.2717,7.3556,7.2202,6.7556,5.552,6.0906,8.2609,6.8809,7.2179,7.7619,6.4884,8.9186,6.6301,5.6347,4.7337,3.971,4.1974,4.2024,5.7337,4.395,3.708204201,5.626976452,4.652477298,4.097595393,4.031242152,3.832645389,3.23821999,2.473188631,3.236011294,2.626313749,1.728354024,2.094112711,0.208312106,-0.073496837,0.000561124
Finland,1.742031,1.616899,1.555623,1.873484,2.247468,2.273717398,2.015835483,2.238487628,2.486600745,2.534202732,2.296097258,3.097043088,3.123865482,4.213576001,4.060428012,4.609558613,2.830204452,3.140895194,3.413107863,3.931785612,4.9854304,4.558063437,5.106883539,5.112209802,5.000955384,5.265907137,5.260342027,4.787618229,5.47527945,6.668672972,5.898968186,7.028972007,6.657614407,5.463337155,5.293708799,5.015238368,6.060977357,6.585626254,8.219475494,7.384326932,4.743646699,7.407924907,6.995103659,5.334790293,5.373148944,6.786328461,5.51311264,4.514330754,4.996608388,4.467349766,3.785826884,4.098117894,0.07953189,-0.022301742,0.001098103
France,41.37020124,38.3331115,37.83685179,36.38528373,36.42330694,34.66647551,31.76570544,28.25559651,27.94856222,28.2894774,24.80155549,29.16000898,28.08471632,29.30219007,31.82274498,31.15744487,28.4,29.04,26.28,25.13,24.39,20.16,18.35,17.92,19.51,18.99,20.21,17.82,14.56,14.32,14.66,15.62,13.68,16.27,14.57,14.166921,12.39792,12.778151,13.583779,12.931079,13.429452,12.409079,12.846858,12.073,10.750499,11.510824,9.768431,11.06623881,11.56442283,8.6369556,8.383712335,8.31551514,-0.010844502,-0.046023212,0.002228167
Germany,160.7460479,150.0721777,144.5661593,146.641361,150.9854237,149.097,142.681,139.283,139.736,140.337,127.134,134.208,128.891,130.566,138.158,141.338,143.707,140.282,145.397,150.064,149.269,141.047,140.467,138.813,141.023,131.5297363,115.5283988,104.4280294,98.51884888,95.56763485,90.62247387,90.2323191,87.43063285,85.34069844,82.16523332,85.30488652,85.54910041,85.73936505,87.15562568,84.96216788,81.28867093,84.54955006,86.69705281,80.12108608,71.73623701,77.05694086,78.31393905,80.48789051,82.83736983,79.61263972,78.47112353,75.28422662,-0.04323363,-0.003521381,0.02017263
Greece,2.107,2.103,2.01,2.27,2.197,2.528,3.726,3.98,4.681,4.93,6.456,7.629,8.114,7.215,3.961,3.961,3.921,3.981,4.882,5.213,6.045,5.769,6.586,7.392,7.947,8.0655,7.7681,8.1738,8.1659,8.4761,8.3889,7.9484,8.5415,8.922,8.5625,9.0378,9.3079,8.9749,8.8955,9.0911,8.9443,8.4236,8.8361,8.3205,8.4255,7.863,7.8871,8.1357,6.9807,6.6871,5.6064,4.6813512,-0.16728014,-0.045636608,0.001254382
Hungary,10.91,10.463,9.077,8.959,9.093,9.241,8.945,8.693,8.738,8.334,7.94,8.045,8.183,8.175,8.238,8.078,8.117,8.463,7.956,7.742,7.604,7.515,7.511,7.087,6.348,6.2313,6.0472,5.2347,4.8623,4.7292,4.6227,4.7428,4.5998,4.2799,4.1599,3.8502,3.6202,3.621,3.7474,3.3745,3.0312,3.077,3.1347,3.0535,2.5649,2.7304,2.7085,2.5966,2.2611,2.218,2.363,2.2844173,-0.035896859,-0.024595145,0.000612116
Ireland,3.126,3.561,3.792,4.631,4.409,2.15,2.052,1.91,1.863,2.009,1.701,1.749,1.832,1.733,1.988,1.884,1.972,2.086,2.263,2.169,2.492,2.739,3.519,3.583,3.59,3.461868314,3.320893546,3.163096594,3.073622982,2.940981246,2.961118965,2.984981191,2.840070108,2.859039488,2.459272253,2.617307711,2.74191857,2.637275804,2.550794527,2.38502902,2.671964152,2.382317317,2.347881686,2.273779104,1.961950057,1.983545315,1.949297747,2.263903964,2.046749269,2.030662221,2.185468511,2.175966441,-0.007068202,-0.019897735,0.000583057
Italy,8.626,8.972,9.832,9.522,9.774,9.87,9.535,8.873,9.003,9.804,9.83,9.747,9.585,9.75,10.7,12.554,12.866,14.385,13.464,15.27,15.076,14.819,14.71,13.788,14.386,14.081,13.8244,12.2343,10.648,11.361,12.2774,11.2392,11.3338,11.78,11.7665,12.5504,13.3514,13.7225,14.8604,16.5847,16.4606,16.6685,16.3272,15.7971,12.3715,13.66,15.3544,15.7233,13.5469,13.067,12.301,10.86957,-0.11878126,-0.028708751,0.002912533
Kazakhstan,,,,,,,,,,,,,,,,,,,,,38.134,40.066,41.63,43.424,41.446,38.7194556,37.7966064,38.0756782,34.576633,33.8239398,27.3164584,24.3974976,20.9446048,20.6237766,19.0957606,17.8386978,22.2999,22.5925,24.9452,26.5909,26.8849,28.3374,31.1388,33.78767,30.93664,33.38398,36.3405,36.4721,36.25559,40.9745,35.7938,35.61055212,-0.007837795,0.029034507,0.009541952
Lithuania,,,,,,,,,,,,,,,,,,,,,0.813216,0.946452,0.931668,0.939216567,0.877531904,0.7972,0.8904,0.4173,0.37,0.3072,0.2454,0.2255,0.1823,0.159,0.1357,0.0923,0.0838,0.1351,0.1745,0.1687,0.1848,0.251,0.2495,0.2117,0.1683,0.207,0.2397,0.2337,0.2689,0.2275,0.1824,0.191736625,0.04831554,-0.001306354,5.14E-05
