location,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001397536,0.010935324,0.062351611,0.111050369,0.140936142,0.171427278,0.183292236,0.195332547,0.225484968,0.236441883,0.266427329,0.297710399,0.344728499,0.404972044,0.424308766,0.457525469,0.479759463,0.472207455,0.494805463,0.49361942,0.500541487,0.498922384,0.480717502,0.489751482,0.438973802,0.439862244,0.423613844,0.479184945,0.401851905,0.374290427,0.354008819,0.304061691,0.305893248,0.310243276,0.014220738,-0.044197866,0.000907553
Finland,0,0,0,0,0,0,0,0,0,0.041082556,0.067986494,0.079446549,0.081019935,0.088214518,0.087901263,0.082462988,0.065796281,0.062147636,0.060270677,0.068840361,0.087588009,0.106044347,0.140245575,0.150442972,0.197812506,0.233030527,0.245601789,0.254333431,0.263534324,0.290895306,0.302080032,0.315169218,0.310938458,0.356214002,0.356617125,0.363293966,0.395255269,0.392482196,0.434448027,0.417405501,0.382961314,0.409305503,0.378616834,0.386068336,0.345524835,0.381759649,0.33387793,0.294479212,0.274595802,0.245475973,0.211480159,0.192022714,-0.092006006,-0.057651655,0.000561723
France,0.462554313,0.487966288,0.557679388,0.665076992,0.774979728,0.882919389,1.046479683,1.234059108,1.451390637,1.515376935,1.690161874,1.810735582,1.895500479,2.024097129,2.28025034,2.313028956,2.353256294,2.269258676,2.409737307,2.512819439,2.609734013,2.616049435,2.700063694,2.55580298,2.629412503,2.717612082,3.035421792,3.009445292,3.113761323,2.991654831,3.189587999,3.480588046,3.369606668,3.592651754,3.707491365,3.835176332,4.037243365,4.030389759,4.192637936,4.305038943,4.414183003,4.260458853,4.136413779,4.27709716,4.131382141,4.580929857,3.977210866,4.097798164,4.1736967,3.504971462,3.768282445,4.107782393,0.090094082,-0.015695861,0.01201647
Germany,0.286325963,0.34413758,0.443586674,0.727046451,1.038204829,1.476545836,1.950622947,2.518669388,3.256793906,4.074243603,4.299588693,4.53807333,4.832460983,5.180314243,5.726191413,5.629896348,5.397681548,5.008737234,5.207307568,5.423149665,5.375059612,5.359431897,5.810668501,5.704769817,5.854491673,5.893724887,6.185733656,6.099088476,6.471550131,6.589996275,7.185711306,8.019108201,7.681721543,7.752126773,7.729392714,7.644252926,8.083339472,8.070822131,8.168729565,8.187808567,8.345196527,8.504726517,8.193153274,8.250453938,7.804361649,8.14093208,7.474421534,7.476983961,7.854666264,6.830542342,7.113264787,7.764416213,0.091540445,-0.015845595,0.022713198
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007796956,0.007431834,0.008153603,0.007683722,0.010526121,0.012016648,0.014373664,0.014535522,0.014849803,0.014669554,0.013518665,0.009996926,0.005114008,0.004716534,0.005284402,0.01838316,0.080827193,0.144917442,0.193984483,0.191964584,0.206456328,0.233398726,0.255864108,0.258329175,0.30457687,0.359277536,0.373589008,0.314572195,0.344744763,0.425110919,0.389641565,0.344849369,0.262912143,0.27287903,0.27447155,0.005835992,0.005494433,0.00080291
Hungary,0.125687201,0.155812012,0.199982435,0.251005618,0.299639728,0.336031683,0.349920155,0.376658225,0.448500572,0.477666362,0.530611249,0.635393404,0.686610443,0.751883948,0.794228765,0.854720267,0.8766699,0.915564553,0.91276375,0.927044896,0.94901474,1.00664612,0.99938067,0.985790941,1.007069013,0.958178718,0.950141943,0.832967338,0.898824695,0.907683121,0.986325404,1.097548468,1.043728005,1.050979076,1.064821329,1.035291524,1.151423357,1.162163878,1.277783028,1.255658009,1.300131938,1.231634479,1.150799416,1.132217031,0.983852747,1.055192605,1.008800129,0.897861746,0.839329452,0.750331798,0.805046059,0.861057606,0.06957558,-0.046801544,0.002518846
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027735717,0.080835627,0.12190815,0.178884622,0.193505,0.204447666,0.211135455,0.148891347,0.148353833,0.177430985,0.201782714,0.201782714,0.206727841,0.203911621,0.232313503,0.236291105,0.251448997,0.284854457,0.298535214,0.3018678,0.322830841,0.369120774,0.386042475,0.396255239,0.393352664,0.391634675,0.373787158,0.424313464,0.460649402,0.481261445,0.458069336,0.505370558,0.444523986,0.432370308,0.412930382,0.400086831,0.404270452,0.460935697,0.140166676,0.007870566,0.001348372
Italy,0.681685928,0.744304216,0.813002466,0.952192472,1.048330021,1.130969893,1.168364776,1.336160824,1.505161365,1.692824425,1.950687816,2.355471879,2.412143259,2.37646537,2.441542449,2.416709174,2.34970522,2.341515413,2.407833442,2.828874061,2.883077987,3.048313823,3.381345967,3.658276214,3.968068027,4.198988707,4.460782929,4.407596522,4.509711482,4.357821057,4.800241668,4.938776825,5.142180365,5.536393051,6.017575484,6.257256451,6.291600064,6.248921461,6.889530514,7.129616526,7.650865185,7.492728599,7.474721972,7.453150937,6.869599284,7.316280465,6.860218216,6.577877712,6.169201619,5.451083487,5.945043905,6.226590945,0.047358278,-0.024910563,0.018214607
Kazakhstan,,,,,,,,,,,,,,,,,,,,,0.809934137,0.98066066,1.024463434,1.065347447,1.103204134,1.175895879,1.234612453,1.26618567,1.217091344,0.963139551,1.015702879,0.847035986,0.665489277,0.683010387,0.744229977,0.468094136,0.412349524,0.434294952,0.511062184,0.563170953,0.676229317,0.714530666,0.874523895,0.85849744,0.802428432,0.859095757,0.964305337,1.040658961,1.082995865,1.211526994,1.243709807,1.290945723,0.037979853,0.062826823,0.003776395
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377062968,0.377863102,0.394665908,0.410344482,0.436672923,0.502983996,0.520678953,0.296647453,0.160877907,0.186119559,0.218112386,0.23254716,0.215263562,0.188549122,0.194891786,0.221311651,0.230776213,0.233324029,0.25309379,0.251769743,0.26627363,0.263865568,0.310908783,0.278314705,0.23452806,0.267896922,0.292278552,0.284607876,0.232679012,0.222003986,0.222233816,0.197479496,-0.11138863,-0.017916988,0.000577686
